いきもの,生き物,living creatures
ばけもの,化け物,monster
どうぶつ,動物,animal
チーター,cheetah
いぬ,犬,dog
ねこ,猫,cat
うし,牛,cow
ぶた,豚,pig
うま,馬,horse
ひつじ,羊,sheep
さる,猿,monkey
ねずみ,鼠,mouse
とら,虎,tiger
オオカミ,狼,wolf
うさぎ,兎,rabbit
しか,鹿,deer
がま,蟇,toad
しし,獅子,lion
キリン,麒麟,giraffe
ぞう,象,elephant
とり,鳥,bird
にわとり,鶏,chicken
すずめ,雀,sparrow
からす,烏,crow
わし,鷲,eagle
たか,鷹,hawk
さかな,魚,fish
たい,鯛,red snapper
えび,海老,shrimp
いわし,鰯,sardine
まぐろ,鮪,tuna
さんま,秋刀魚,pike
さば,鯖,mackerel
イカ,烏賊,squid
タコ,蛸,章魚,octopus
むし,虫,insect
ちょう,蝶,butterfly
ガ,蛾,moth
せみ,蝉,cicada
トンボ,蜻蛉,dragonfly
バッタ,飛蝗,grasshopper
クモ,蜘蛛,spider
ホタル,蛍,firefly
ハエ,蝿,蠅,housefly
カ,蚊,mosquito
ゴキブリ,蜚蠊,cockroach
カタツムリ,蝸牛,snail
ナメクジ,蛞蝓,slug
ミミズ,蚯蚓,earthworm
かい,貝,shellfish
かいがら,貝殻,shell
トカゲ,蜥蜴,lizard
へび,蛇,snake
にんげん,人間,human
じんるい,人類,humanity
ひと,人,person
おとこ,男,male
おとこのひと,男の人,man
おとこのこ,男の子,boy
おんな,女,female
おんなのひと,女の人,woman
おんなのこ,女の子,girl
あかちゃん,赤ちゃん,baby
いろ,色,color
あか,赤,red
きいろ,黄色,yellow
みどり,緑,green
あお,青,blue
むらさき,紫,purple
しろ,白,white
くろ,黒,black
ピンク,pink
ちゃいろ,茶色,brown
はいいろ,灰色,ねずみいろ,鼠色,grey
オレンジ,orange
あし,足,foot
あし,脚,leg
かかと,踵,heel
すね,脛,shin
ひざ,膝,knee
もも,腿,thigh
あたま,頭,head
かお,顔,face
くち,口,mouth
くちびる,唇,lips
は,歯,tooth
はな,鼻,nose
め,目,eye
ひげ,髭,beard
かみ,髪,hair
みみ,耳,ear
い,胃,stomach
うで,腕,arm
ひじ,肘,elbow
かた,肩,shoulder
つめ,爪,nail
て,手,hand
てくび,手首,wrist
てのひら,掌,palm of hand
ゆび,指,finger
きも,肝,liver
きんにく,筋肉,muscle
くび,首,neck
かぞく,家族,family
りょうしん,両親,parents
こども,子供,children,child
ちち,父,father
はは,母,mother
つま,妻,wife
おっと,夫,husband
あに,兄,older brother
あね,姉,older sister
おとうと,弟,younger brother
いもうと,妹,younger sister
きょうだい,兄弟,brothers
しまい,姉妹,sisters
そふ,祖父,grandfather
そぼ,祖母,grandmother
まご,孫,grandchild
おじ,叔父,uncle
おば,叔母,aunt
めい,姪,niece
おい,甥,nephew
てんき,天気,weather
はれ,晴れ,clear weather
あめ,雨,rain
くもり,曇り,cloudy
ゆき,雪,snow
かぜ,風,wind
かみなり,雷,thunder,lightning
たいふう,台風,typhoon
あらし,嵐,storm
そら,空,sky
がくせい,学生,student
ともだち,友達,friend
げんき,元気,healthy
うん,yes casual
あした,明日,tomorrow
ううん,no casual
きょう,今日,today
しけん,試験,exam
だれ,誰,who
わたし,私,me
おかね,お金,money
きらい,嫌い,distasteful
たべもの,食べ物,food
おいしい,tasty
たかい,高い,tall
かんがえる,考える,to think
おしえる,教える,to teach; to inform
でる,出る,to come out
いる,to exist animate
きる,着る,to wear
はなす,話す,to speak
きく,聞く,to ask; to listen
およぐ,泳ぐ,to swim
あそぶ,遊ぶ,to play
まつ,待つ,to wait
のむ,飲む,to drink
かう,買う,to buy
ある,to exist inanimate
しぬ,死ぬ,to die
する,to do
くる,来る,to come
しずか,静か,quiet
きれい,pretty; clean
しんせつ,親切,kind
すき,好き,likable
にく,肉,meat
やさい,野菜,vegetables
ビル,building
ねだん,値段,price
レストラン,restaurant
あまり,not very
あんまり,not very neg
いい,good
かれ,彼,he; boyfriend
かっこいい,cool; handsome
たべる,食べる,to eat
わかる,分かる,to understand
みる,見る,to see
ねる,寝る,to sleep
おきる,起きる,to wake; to occur
いる,要る,to need
かえる,帰る,to go home
きる,切る,to cut
しゃべる,to talk
しる,知る,to know
はいる,入る,to enter
はしる,走る,to run
へる,減る,to decrease
あせる,焦る,to be in a hurry
かぎる,限る,to limit
ける,蹴る,to kick
すべる,滑る,to be slippery
にぎる,握る,to grasp
ねる,練る,to knead
まいる,参る,to go; to come
まじる,交じる,to mingle
あざける,嘲る,to ridicule
くつがえる,覆る,to overturn
さえぎる,遮る,to interrupt
ののしる,罵る,to abuse verbally
ひねる,捻る,to twist
ひるがえる,翻る,to turn over; to wave
めいる,滅入る,to feel depressed