にんげん,人間,human
じんるい,人類,humanity
ひと,人,person
おとこ,男,male
おとこのひと,男の人,man
おとこのこ,男の子,boy
おんな,女,female
おんなのひと,女の人,woman
おんなのこ,女の子,girl
あかちゃん,赤ちゃん,baby
わかもの,若者,youth,young person
わたし,私,I,myself
わたくし,私,I,myself
ぼく,僕,I,myself
おれ,俺,I,myself
あたし,私,I,myself
しょうじょ,少女,girl
しょうねん,少年,boy
いしゃ,医者,doctor
かんごし,看護師,nurse
かんごふ,看護婦,female nurse
しかい,歯科医,はいしゃ,歯医者,dentist
せいじか,政治家,politician
べんごし,弁護士,lawyer
しょうぼうし,消防士,firefighter
けいさつかん,警察官,police officer
へいし,兵士,soldier
けんちくか,建築家,architect
せんせい,先生,teacher
きょうし,教師,teacher academic
かしゅ,歌手,singer
エンジニア,engineer
あし,足,脚,foot,leg
かかと,踵,heel
すね,脛,shin
ひざ,膝,knee
もも,腿,thigh
あたま,頭,head
かお,顔,face
くち,口,mouth
くちびる,唇,lips
は,歯,tooth
はな,鼻,nose
め,目,eye
ひげ,髭,鬚,髯,moustache,beard
かみ,髪,hair
みみ,耳,ear
い,胃,stomach
うで,腕,arm
ひじ,肘,elbow
かた,肩,shoulder
つめ,爪,nail
て,手,hand
てくび,手首,wrist
てのひら,掌,手の平,palm of hand
ゆび,指,finger,toe
しり,尻,buttocks
おなか,お腹 （はら,腹）,abdomen
かんぞう,肝臓,liver
きも,肝,liver
きんにく,筋肉,muscle
くび,首,neck
こころ,心,heart, feelings
こし,腰,waist,hip
しんぞう,心臓,heart
せなか,背中,back
ち,血,blood
にく,肉,meat
はだ,肌,膚,skin
ひふ,皮膚,skin
ほね,骨,bone
むね,胸,chest
かぜ,風邪,cold, illness
びょうき,病気,illness
かぞく,家族,family
りょうしん,両親,parents
こども,子供,children,child
ちち,父,father
はは,母,mother
つま,妻,wife
おっと,夫,husband
あに,兄,older brother
あね,姉,older sister
おとうと,弟,younger brother
いもうと,妹,younger sister
きょうだい,兄弟,brothers,siblings
しまい,姉妹,sisters
そふ,祖父,grandfather
そぼ,祖母,grandmother
まご,孫,grandchild
おじ,伯父,叔父,uncle
おば,伯母,叔母,aunt
いとこ,従兄弟,従姉妹,従兄,従弟,従姉,従妹,cousin
めい,姪,niece
おい,甥,nephew
いきもの,生き物,living creatures
ばけもの,化け物,monster
どうぶつ,動物,animal
チーター,cheetah
いぬ,犬,dog
ねこ,猫,cat
うし,牛,cow
ぶた,豚,pig
うま,馬,horse
ひつじ,羊,sheep
さる,猿,monkey
ねずみ,鼠,mouse,rat
とら,虎,tiger
オオカミ,狼,wolf
うさぎ,兎,rabbit
りゅう,たつ,竜,dragon
しか,鹿,deer
かえる,蛙,frog
がま,蟇,toad
しし,獅子,lion
キリン,麒麟,giraffe
ぞう,象,elephant
とり,鳥,bird
にわとり,鶏,chicken
すずめ,雀,sparrow
からす,烏,crow,raven
わし,鷲,eagle
たか,鷹,hawk,falcon
さかな,魚,fish
たい,鯛,red snapper
えび,海老,shrimp,lobster
いわし,鰯,sardine
まぐろ,鮪,tuna
かつお,鰹,bonito
さんま,秋刀魚,pike
あじ,鰺,horse mackerel
さば,鯖,mackerel
イカ,烏賊,squid
タコ,蛸,章魚,octopus
むし,虫,insect
ちょう,蝶,butterfly
ガ,蛾,moth
せみ,蝉,cicada
トンボ,蜻蛉,dragonfly
バッタ,飛蝗,grasshopper
クモ,蜘蛛,spider
ホタル,蛍,firefly
ハエ,蝿,蠅,housefly
カ,蚊,mosquito,gnat
ゴキブリ,蜚蠊,cockroach
カタツムリ,蝸牛,snail
ナメクジ,蛞蝓,slug
ミミズ,蚯蚓,earthworm
かい,貝,shellfish
かいがら,貝殻,shell
トカゲ,蜥蜴,lizard
へび,蛇,snake
しょくぶつ,植物,plants
くさ,草,grass
はな,花,flower
み,実,fruit
き,木,tree
くき,茎,stem
きのこ,茸,mushroom
きく,菊,chrysanthemum
さくら,桜,cherry blossom
こめ,米,uncooked rice
いね,稲,rice growing in a field
むぎ,麦,wheat,barley,oats
やさい,野菜,vegetable
くだもの,果物,fruit for eating
いも,芋,yam,potato,taro
まめ,豆,beans,peas
だいこん,大根,Japanese white radish
にんじん,人参,carrot
リンゴ,林檎,apple
ミカン,蜜柑,mandarin orange
バナナ,かんしょう,甘蕉,banana
ナシ,梨,pear
クリ,栗,chestnut tree
モモ,桃,peach
トマト,ばんか,蕃茄,tomato
スイカ,西瓜,watermelon
たべもの,食べ物,food
ちょうしょく,朝食,breakfast
ひるごはん,昼御飯,lunch
ばんごはん,晩御飯,supper
ごはん,御飯,cooked rice or food
みそ,味噌,miso
りょうり,料理,cooking
サラダ,salad
デザート,dessert
パン,bread
サンドイッチ,sandwich
おやつ,間食,snack
アイスクリーム,ice cream
のみもの,飲み物,beverage
ちゃ,茶,tea
おちゃ,お茶,green tea
コーヒー,珈琲,coffee
ぎゅうにゅう,牛乳,milk
みず,水,water
ビール,beer
ワイン,wine
さとう,砂糖,sugar
しお,塩,salt
しょうゆ,醤油,soy sauce
じかん,時間,time
とき,じ,時,~hours
こよみ,カレンダー,暦,calendar
ふん,分,minute
びょう,秒,second
ひ,にち,日,day
つき,げつ,月,month
(# -gatsu /
とし,ねん,年,year
きのう,さくじつ,昨日,yesterday
きょう,今日,today
あした,あす,みょうにち,明日,tomorrow
あさ,朝,morning
ひる,昼,afternoon
ゆうがた,夕方,evening
ばん,晩,evening
よる,夜,evening,night
ようび,曜日,~day
しゅう,週,week
いっしゅうかん,一週間,one week
にちようび,日曜日,Sunday
げつようび,月曜日,Monday
かようび,火曜日,Tuesday
すいようび,水曜日,Wednesday
もくようび,木曜日,Thursday
きんようび,金曜日,Friday
どようび,土曜日,Saturday
たいよう,太陽,sun
つき,月,moon
ほし,星,star
てんき,天気,weather
はれ,晴れ,clear weather
あめ,雨,rain
くもり,曇り,cloudy
ゆき,雪,snow
かぜ,風,wind
かみなり,雷,thunder,lightning
たいふう,台風,typhoon
あらし,嵐,storm
そら,空,sky
きた,北,north
ひがし,東,east
みなみ,南,south
にし,西,west
ここ,here
そこ,there
あそこ,over there
みぎ,右,right
ひだり,左,left
うえ,上,above,up
した,下,below,down
まえ,前,front
うしろ,後,behind
むこう,向こう,the other side,opposite side
ななめ,斜め,diagonal
てまえ,手前,nearer,more in front
とおい,遠い,far
ちかい,近い,near,close
みず,水,water
ゆ,湯,hot water
こおり,氷,ice
ゆげ,湯気,steam
ひ,火,fire
ガス,gas
くうき,空気,air,atmosphere
つち,土,earth,ground
きんぞく,金属,metal,metallic
どろ,泥,mud,mire,clay,plaster
けむり,煙,smoke,tobacco,opium
てつ,鉄,iron
どう,銅,copper
きん,金,gold
ぎん,銀,silver
なまり,鉛,lead
しお,塩,salt
メートル,meter
リットル,litre
グラム,gram
キロ,kilo-
ミリ,milli-
センチメートル,センチ,centimeter
インチ,inch
しゃかい,社会,society
けいざい,経済,economy,economics
かいしゃ,会社,company
かいぎ,会議,meeting
がっこう,学校,school
やくしょ,役所,local government office
みせ,店,store
ホテル,hotel
こうじょう,工場,factory
かね,金,money
さつ,札,money bill
こぜに,小銭,small change
つりせん,釣り銭,おつり,お釣り,change
じどうはんばいき,自動販売機,vending machine,slot machine
きっぷ,切符,ticket
きって,切手,stamp
つくえ,机,desk
いす,椅子,chair,position
たたみ,畳,a tatami mat
と,戸,door,family
とびら,扉,door panel
ドア,door
まど,窓,window
ふとん,布団,futon
げんかん,玄関,entrance
いえ,家,house,home
エレベーター,elevator
エスカレーター,escalator
でんき,電気,electricity
くぎ,釘,nail,spike
ひも,紐,string,cord
なわ,縄,rope,string
ふくろ,袋,pocket,bag
かばん,鞄,leather bag
かさ,傘,umbrella,parasol
かぎ,鍵,door bolt,key
ちょうこく,彫刻,sculpture,engraving
ぶんぼうぐ,文房具,stationery
インク,ink
ペン,pen
ボールペン,ball-point pen
まんねんひつ,万年筆,fountain pen
えんぴつ,鉛筆,pencil
ふで,筆,paint brush
チョーク,chalk
けしゴム,消しゴム,eraser
えんぴつけずり,鉛筆削り,pencil sharpener
じょうぎ,定規,ruler
ノート,notebook
にっき,日記,diary
カバー,book cover
ふうとう,封筒,envelope
はさみ,鋏,scissors
ホッチキス,stapler
ふく,服,clothes
ようふく,洋服,western clothing
きもの,着物,kimono
わふく,和服,Japanese clothing
そで,袖,sleeve
えり,襟,lapel,collar
ボタン,button
チャック,zipper
ベルト,belt
くつ,靴,shoe
くつした,靴下,sock
めがね,眼鏡,glasses
てつどう,鉄道,railway
えき,駅,station
ひこうき,飛行機,airplane
くうこう,空港,airport
みち,道,street,way,road
どうろ,道路,road
バスてい,バス停,bus-stop
とおり,通り,avenue
でんしゃ,電車,train
もじ,文字,letter,character,script
じ,字,a letter,character
かんじ,漢字,Chinese character
ひらがな,平仮名,hiragana syllabary characters
カタカナ,片仮名,katakana syllabary characters
すうじ,数字,numbers
アルファベット,alphabet
ローマ字,Roman characters
がいこくご,外国語,foreign language
にほんご,日本語 （こくご,国語）,Japanese
えいご,英語,English
ちゅうごくご,中国語,Chinese
どいつご,ドイツ語,German
すぺいんご,スペイン語,Spanish
ふらんすご,フランス語,French
ちょうせんご,朝鮮語,Korean
かんこくご,韓国語,South Korean
ほん,本,book
かみ,紙,paper
てがみ,手紙,letter
しんぶん,新聞,newspaper
じしょ,辞書,dictionary
パソコン,personal computer
いろ,色,color
あか,赤,red
きいろ,黄色,yellow
みどり,緑,green
あお,青,blue
むらさき,紫,purple
しろ,白,white
くろ,黒,black
ピンク,pink
ちゃいろ,茶色,brown
はいいろ,灰色,ねずみいろ,鼠色,grey
オレンジ,orange
え,絵,picture
おんがく,音楽,music
りか,理科,science
さんすう,算数,arithmetic
れきし,歴史,history
ちり,地理,geography
たいいく,体育,physical education
スポーツ,sport
システム,system
じょうほう,情報,information,news
ひつよう,必要,necessity
べんきょう,勉強,study
いらい,依頼,request
れい,ゼロ,零,zero
いち,一,one
に,二,two
さん,三,three
よん,し,四,four
ご,五,five
ろく,六,six
なな,しち,七,seven
はち,八,eight
きゅう,く,九,nine
じゅう,十,ten
ひゃく,百,hundred
せん,千,thousand
まん,万,ten thousand
おく,億,one hundred million
ひとつ,一つ,one,one thing
ふたつ,二つ,two,two things
みっつ,三つ,three,three things
よっつ,四つ,four,four things
いつつ,五つ,five,five things
むっつ,六つ,six,six things
ななつ,七つ,seven,seven things
やっつ,八つ,eight,eight things
ここのつ,九つ,nine,nine things
とお,十,ten,ten things
これ,this
それ,that
あれ,that over there
どれ,which
こちら,こっち,this direction,thing,person,or place
そちら,そっち,that direction,thing,person,or place
あちら,あっち,that direction,thing,person,or place over there
どちら,どっち,which direction,thing,person,or place
ひみつ,秘密,secret
じどう,自動,automatic
ないよう,内容,content
はば,幅,hem,piece,strip
せいしき,正式,formality
けっこん,結婚,marriage
げんざい,現在,now
いま,今,now
かこ,過去,past
みらい,未来,future
いい,よい,良い,good
すごい,凄い,amazing
すばらしい,素晴らしい,wonderful
わるい,悪い,bad,inferior
たかい,高い,expensive,high
ひくい,低い,low
やすい,安い,cheap
おおきい,大きい,big
ちいさい,小さい,small
ほそい,細い,thin
ふとい,太い,thick
ふるい,古い,old
あたらしい,新しい,new
わかい,若い,young
かるい,軽い,light,easy
おもい,重い,heavy
やさしい,易しい,easy,simple
むずかしい,難しい,difficult
やわらかい,柔らかい,soft
かたい,硬い,堅い,hard
あつい,熱い,暑い,hot
つめたい,冷たい,cold
さむい,寒い,cold
おいしい,美味しい,delicious
うまい,美味い,旨い,delicious,appetizing
まずい,不味い,tastes awful
あまい,甘い,sweet
からい,辛い,hot spicy
しょっぱい,塩っぱい,salty
にがい,苦い,bitter
うつくしい,美しい,beautiful
うれしい,嬉しい,happy
たのしい,楽しい,fun
かなしい,悲しい,sad
さびしい,寂しい,淋しい,lonely
さみしい,寂しい,淋しい,sad,lonely
こわい,怖い,恐い,scary
いたい,痛い,painful
かゆい,痒い,itchy
くさい,臭い,stinky
つらい,辛い,painful,heart-breaking
する,to do
やる,to do
いる,to exist animate
ある,to exist inanimate
なる,to become
おこる,起こる,興る,to occur
あらわれる,現れる,to appear
いきる,生きる,to live
うむ,生む,産む,to give birth
しぬ,死ぬ,to die
こわれる,壊れる,to breakin
in intransitive sense
いく,行く,to go
くる,来る,to come
かえる,帰る,返る,to return
あるく,歩く,to walk
とぶ,飛ぶ,to jump,to fly
およぐ,泳ぐ,to swim
うごく,動く,to movein
おどる,踊る,to dance
ねる,寝る,to sleep
うたう,歌う,to sing
かむ,噛む,to bite
たべる,食べる,to eat
のむ,飲む,to drink
さわる,触る,to touch
なげる,投げる,to throw
もつ,持つ,to hold
うつ,打つ,to hit,to strike
なぐる,殴る,to hit,to strike
さす,指す,to point
ける,蹴る,to kick
すわる,座る,to sit
たつ,立つ,to stand
はしる,走る,to run
あく,空く,to become unoccupied
こむ,込む,to be crowded
いる,要る,to need
かわく,乾く,to become dry
みだす,乱す,to disturb,to disarrange
みだれる,乱れる,to be disturbed,to become confused
つかえる,仕える,to serve,to work for
そなわる,備わる,to be furnished with
すぐれる,優れる,to excel,to surpass
ひえる,冷える,to grow cold,to get chilly,to cool down
さめる,覚める,to wake,to become sober,to be disillusioned
さめる,冷める,to cool down
むく,向く,to face,to turn toward
たおれる,倒れる,to fall,to collapse
かたまる,固まる,to harden,to solidify,to become firm
うまる,埋まる,to be filled,to be surrounded,to overflow
うもれる,埋もれる,to be buried,to be covered
ます,増す,to increase,to grow
ふえる,増える,to increase,to multiply
へる,減る,to decrease
はずれる,外れる,to deviate
ふとる,太る,to grow fat
はじまる,始まる,to begin
おわる,終わる,to finish,to close
きめる,決める,to decide
みる,見る,to see
きく,聞く,聴く,to hear,to listen
さわる,触る,to touch,to feel
かぐ,嗅ぐ,to smell
いう,言う,to say
はなす,話す,to speak
かたる,語る,to tell
かく,書く,to write
よむ,読む,to read
つかう,使う,to use
つくる,作る,造る,創る,to make
なおす,直す,治す,to fix,repair
すてる,捨てる,to discard,throw away
とる,取る,撮る,採る,to take
おく,置く,to put
かなしむ,悲しむ,哀しむ,to be sad
なく,泣く,to cry
わらう,笑う,to laugh
おこる,怒る,to be angry
ほめる,褒める,to encourage
しかる,叱る,to scold
よろこぶ,喜ぶ,to celebrate,to be jubilant,to have joy,to have delight,to have rapture
よろこび,喜び,joy,delight,rapture
なぐさめる,慰める,to console,to consolate,to provide empathy
あきる,飽きる,to be disinterested,to be bored,to be tired of,to be weary
おどろく,驚く,to be astonished,to be surprised,to be scared
あう,会う,to meet,to interview
あける,開ける,to opentr,to unwraptr
あそぶ,遊ぶ,to play
あつまる,集まる,to gatherin
うる,売る,to sell
える,得る,to obtain benefit
おる,折る,to breaktr,to foldtr
かう,買う,to buy
きる,切る,to cut
きる,着る,to wear on upper body
はく,履く,to wear on lower body
かえる,変える,to changetr
かえる,代える,to exchange,to substitute,to replace
しめる,閉める,to closetr
しめる,締める,to tie,to fasten
しめる,占める,to comprise,to account for
しる,知る,to know
つかれる,疲れる,to get tired
でかける,出掛ける,to go out,to depart
はたらく,働く,to work [e.g.,at a job]
はなす,放す,離す,to let go of
やすむ,休む,to rest,to take a break,to go to bed
わかれる,分かれる,to split intoin,to be divided
わかれる,別れる,to partin,to separatein,to break upin
tr transitive sense
in intransitive sense
† conjugates as a u-verb
もう,already
まだ,still
ずっと,always
とても,very
こう,like this
そう,like that
ああ,Oh!
どう,how
しばしば,often
この,this
その,that
あの,that
どの,which
はい,yes
いいえ,no
でも,but
しかし,however
そして,and then
それに,besides