かれ,彼,he; boyfriend
かっこいい,cool; handsome
たべる,食べる,to eat
わかる,分かる,to understand
みる,見る,to see
ねる,寝る,to sleep
おきる,起きる,to wake; to occur
いる,要る,to need
かえる,帰る,to go home
きる,切る,to cut
しゃべる,to talk
しる,知る,to know
はいる,入る,to enter
はしる,走る,to run
へる,減る,to decrease
あせる,焦る,to be in a hurry
かぎる,限る,to limit
ける,蹴る,to kick
すべる,滑る,to be slippery
にぎる,握る,to grasp
ねる,練る,to knead
まいる,参る,to go; to come
まじる,交じる,to mingle
あざける,嘲る,to ridicule
くつがえる,覆る,to overturn
さえぎる,遮る,to interrupt
ののしる,罵る,to abuse verbally
ひねる,捻る,to twist
ひるがえる,翻る,to turn over; to wave
めいる,滅入る,to feel depressed